"","control_1","control_2","control_3","control_4","control_5","tumor_1","tumor_2","tumor_3","tumor_4","tumor_5"
"MARCH8",311,339,326,760,855,764,496,385,898,619
"MARCH9",65,66,43,198,229,299,300,225,254,256
"MARCKS",600,758,890,3925,3256,5882,5092,5349,7552,5483
"MARCKSL1",90,80,62,806,1877,2158,2502,3024,3095,3601
"MARCO",3,1,4,25,13,1581,2172,687,78,896
"MARK1",1,11,4,86,126,139,84,61,138,70
"MARK2",141,203,155,471,629,686,741,802,919,1029
"MARK2P9",0,0,0,0,1,1,0,2,1,5
"MARK3",193,266,238,704,770,1079,762,847,1037,960
"MARK4",81,86,104,233,350,1012,559,485,715,401
"MARS",623,455,681,1186,929,1573,1757,1262,1386,1382
"MARS2",30,46,35,100,96,142,106,91,106,134
"MARVELD1",46,46,38,638,726,1933,1611,1761,2430,1627
"MARVELD2",58,83,80,137,167,163,116,93,86,242
"MARVELD3",229,285,233,259,242,308,285,266,187,437
"MAS1",0,0,0,0,0,0,1,0,0,0
"MAS1L",0,0,0,0,0,0,0,0,0,0
"MASP1",3,2,7,30,31,111,25,84,4,4
"MASP2",3,3,3,14,10,8,12,3,8,7
"MAST1",6,3,4,17,20,15,18,5,12,7
"MAST2",77,72,55,513,585,1346,1243,1070,1263,1108
"MAST3",194,212,216,285,442,287,225,233,295,368
"MAST4",67,44,54,365,618,723,403,364,669,924
